title,reviewid,creationdate,criticname,originalscore,reviewstate,reviewtext,embedding
Quantum Paradox,8923773,2020-11-30,Jamie Lowell,3.5/4,rotten,"This is a generated review for Quantum Paradox, written by Jamie Lowell.","[-0.0011549789553110396, 0.013197749376098935, 0.010286801681173054, -0.016193082051576935, -0.006727969168877216, -0.009369834892520287, -0.014319440050561889, -0.0018344462655562575, -0.016740749736969516, 0.001824461097327576]"
Neon Horizon,2293286,2024-10-13,Taylor Brooks,NaN,rotten,"This is a generated review for Neon Horizon, written by Taylor Brooks.","[-0.018687752400767886, -0.012543024205089882, -0.00543102664854421, -0.015505528877152806, -0.008266423719815572, -0.011272069922969844, -0.017594501784716568, 0.01802436863169846, -0.018246649749074268, -0.005646827022059982]"
Skyline Reborn,4576838,2018-02-27,Taylor Brooks,2.5/5,fresh,"This is a generated review for Skyline Reborn, written by Taylor Brooks.","[-0.019992740583478393, 0.017482441848147467, -0.006507262162800358, 0.01650215447496776, 0.0031593028150408015, 0.018583611114992103, -0.0034584988183356605, -0.006465308146007027, 0.003223027095106308, 0.016598665352243195]"
Neon Horizon,4872729,2022-07-24,Taylor Brooks,2.5/5,rotten,"This is a generated review for Neon Horizon, written by Taylor Brooks.","[0.0027490096430366207, -0.00655367007091638, -0.0033383832738730877, -0.007040463854023465, 0.005421910739632989, -0.01213725245629341, -0.0031498181542962897, -0.007455195107977439, 0.015909379257309914, 0.010764388102679025]"
Neon Horizon,4678279,2022-04-07,Morgan Tate,1/5,fresh,"This is a generated review for Neon Horizon, written by Morgan Tate.","[-0.008710113281211181, -0.011780378119822155, 0.010266531458832363, 0.007986120968579473, 0.003784315206924984, 0.010131906941982582, -0.019385352242215822, 0.011420156555431268, -0.0192413547321777, 0.010491042217769326]"
The Last Echo,4178722,2016-08-17,Taylor Brooks,4/5,fresh,"This is a generated review for The Last Echo, written by Taylor Brooks.","[-0.011505588467511138, 0.017667962770207605, -0.009857376341765556, -0.00953349511190317, 0.019728221976815116, -0.012021611305086726, -0.0010406171874727463, -0.0078103369857226695, -0.00050508535198392, 0.0075976847658146135]"
The Last Echo,5855705,2021-01-24,Alex Harper,3/5,rotten,"This is a generated review for The Last Echo, written by Alex Harper.","[0.0014443400952688507, -0.0034132040041187604, -0.0008404975338333273, -0.01911993053404889, -0.0019243388025762496, -0.005330258036750451, 0.0030586034886633286, -0.005916004202853497, -0.005453275632676618, -0.018724771782818127]"
Skyline Reborn,2767933,2016-10-06,Morgan Tate,3/5,fresh,"This is a generated review for Skyline Reborn, written by Morgan Tate.","[0.004414863454087991, 0.017769403303639613, -0.012138342564930675, 0.00335129333427351, 0.0026554377135289756, -0.008973695995397529, -0.007089193880960415, -0.01200963408408711, -0.010603100439006856, 0.0019501288325179979]"
Quantum Paradox,6114854,2025-02-16,Jordan Reese,1/5,rotten,"This is a generated review for Quantum Paradox, written by Jordan Reese.","[0.0024431819644236165, -0.018939984646908884, 0.01723065825927086, -0.012191312370081078, 0.010965463362554596, 0.010431434385878808, 0.009847852071229384, -0.0010790941914153758, 0.0017854397157511213, -0.006673547876406784]"
Neon Horizon,9858152,2017-11-22,Jamie Lowell,1/5,fresh,"This is a generated review for Neon Horizon, written by Jamie Lowell.","[-0.014899472656353833, -0.016878165701436243, -0.006084013853442479, 0.0038560025249397833, 0.010388546711631443, 0.016446593184581953, 0.005776406970482338, 0.009680057575615096, -0.01868064196225161, 0.0058279771128616105]"
Quantum Paradox,7587232,2022-04-07,Taylor Brooks,4/5,rotten,"This is a generated review for Quantum Paradox, written by Taylor Brooks.","[0.018328714005707732, 0.0004934513242803307, 0.002204712560232417, -0.016674999405837793, -0.0014889318930325461, -0.010933238952252608, -0.0018590862761698225, 0.0189737286499253, -0.013989727876831299, -0.0006532627262854987]"
The Last Echo,6674105,2024-10-25,Morgan Tate,2.5/5,rotten,"This is a generated review for The Last Echo, written by Morgan Tate.","[0.002352690777690472, -0.015408953136345627, 0.008490059542370018, -0.007358108500724932, -0.010951992463935833, -0.0008948060369582088, 0.006264288322531203, -0.012917913107670619, -0.005436260039293374, 0.014357363811818725]"
Neon Horizon,4744091,2018-05-21,Taylor Brooks,3.5/4,fresh,"This is a generated review for Neon Horizon, written by Taylor Brooks.","[-0.007911685925914732, 0.01864054728410557, -0.002817364900782611, -0.011239176768767307, -0.008210766643655108, -0.005014509416212794, -0.0009478451622839772, 0.010725463069497322, -0.011117735672750628, -0.006862940163155917]"
Shadow of Time,2377284,2022-05-22,Morgan Tate,3/5,fresh,"This is a generated review for Shadow of Time, written by Morgan Tate.","[-0.0003429192974401217, -0.010131904161261427, 0.018607044012920727, 0.008802390355305497, -0.017330870492145507, -0.010400809457532918, 0.010438477017648776, 0.01341082122366381, 0.00045246511162572514, 0.003933140112432048]"
The Last Echo,9054833,2017-04-03,Jordan Reese,3/5,fresh,"This is a generated review for The Last Echo, written by Jordan Reese.","[0.010866737329660668, -0.019351115957733162, 0.006030559848471326, 0.014471816760842134, -0.013424412280151943, 0.006386755816088597, -0.002130383690812993, 0.014488428133006766, 0.012358783356953732, -0.009947374986319151]"
Quantum Paradox,1942352,2019-07-25,Taylor Brooks,NaN,rotten,"This is a generated review for Quantum Paradox, written by Taylor Brooks.","[-0.010376077535088539, -0.015848041920091576, 0.0019105668700578303, 0.018621201168635342, 0.016078101380057896, -0.006966323776839971, 0.0038959940795301948, 0.007259964767165852, 0.012125935466908561, 0.007165247103637921]"
Neon Horizon,8572188,2018-06-08,Alex Harper,4/5,fresh,"This is a generated review for Neon Horizon, written by Alex Harper.","[-0.013052526859317397, 0.005766300762852224, -0.018053838264858117, -0.01887918295591793, 0.0037672558068795464, -0.0005373867153063462, 0.015127092417183196, -0.0010983742286657001, -0.009724245456523372, -0.011678669599158847]"
The Last Echo,9742136,2015-12-25,Taylor Brooks,4/5,rotten,"This is a generated review for The Last Echo, written by Taylor Brooks.","[-0.003971954123464544, 0.0194590896478353, -0.014524610483444732, -0.01120173139688097, 0.01796113276708026, 0.011408101278134988, 0.008321604191860309, 0.008076725203012142, -0.016069070118312472, 0.018826927689407486]"
The Last Echo,5830556,2022-06-15,Morgan Tate,NaN,rotten,"This is a generated review for The Last Echo, written by Morgan Tate.","[0.01176057893505016, -0.01541999790083187, -0.01138432018696509, -0.004600705629726148, -0.00276791834285842, -0.01617990627005217, -0.0094678281646851, 0.0027220937470501735, 0.015307492674089807, -0.0009512412881766512]"
Skyline Reborn,9942034,2022-05-20,Jamie Lowell,1/5,rotten,"This is a generated review for Skyline Reborn, written by Jamie Lowell.","[-0.000613441919315609, 0.009357722262471713, 0.005132827366723401, 0.019867888483188326, -0.0022243264174749942, 0.001808323421051819, -0.004866461831543706, -0.019395397122982497, -0.001349728947248368, 0.017678395509067916]"
Skyline Reborn,2463865,2019-08-30,Taylor Brooks,3/5,rotten,"This is a generated review for Skyline Reborn, written by Taylor Brooks.","[0.014109945881383059, -0.010388491388710378, 0.004944878879887305, 0.0008466331336042729, -0.016382336846282042, 0.013603272939328833, -0.0008035749744608328, -0.013470739286939258, -0.002236941741097332, -0.0048383677035936535]"
Quantum Paradox,6006061,2023-08-17,Jamie Lowell,3.5/4,fresh,"This is a generated review for Quantum Paradox, written by Jamie Lowell.","[-0.01073164594440812, -0.017482094989525437, -0.015978286412948996, -0.018179582954968698, -0.005022325751116163, 0.016608172299774532, 0.0050334609259616026, 0.010436902712075136, 0.010519808418430296, 0.011054071848023993]"
Quantum Paradox,2711998,2017-07-26,Alex Harper,4/5,rotten,"This is a generated review for Quantum Paradox, written by Alex Harper.","[-0.009973906155228899, -0.010792834989805669, 0.005704928988565446, -0.008574889008539914, -0.008957237272866538, -0.003954758001742002, 0.01075317703045316, -0.01925636763804281, -0.0068817859439199176, -0.0037570839881808163]"
Shadow of Time,7942346,2018-10-31,Jamie Lowell,3/5,rotten,"This is a generated review for Shadow of Time, written by Jamie Lowell.","[0.008802528419709098, 0.005138308240518863, 0.004885327771201174, -0.007548509251760654, -0.011518119107149305, -0.006645781419796557, -0.013409376595134526, -0.013736811971809905, 0.009037741039146247, 0.013942995050310481]"
Skyline Reborn,3387982,2021-12-01,Alex Harper,4/5,rotten,"This is a generated review for Skyline Reborn, written by Alex Harper.","[0.014498283524137411, -0.0064988589959975186, 0.013758951078266118, 0.018586553754556135, 0.012264841814203068, -0.009355045961888906, 0.006286822577209604, 0.006452615612630181, -0.012615504800232267, -0.012178865039733271]"
Quantum Paradox,8697152,2019-08-12,Morgan Tate,NaN,fresh,"This is a generated review for Quantum Paradox, written by Morgan Tate.","[-0.003317679554344744, -0.007152283721562713, -0.016005498157772538, -0.008865030332463388, -0.014939164115923416, -8.457302189486537e-05, -0.011318747628465502, 0.010671758083620485, 0.009756274501311425, -0.01641339386215653]"
Quantum Paradox,3499063,2024-07-27,Jamie Lowell,1/5,rotten,"This is a generated review for Quantum Paradox, written by Jamie Lowell.","[-0.016411186135865355, -0.019484076736237362, -0.007130588147349846, -0.0085599895009792, 0.008774232934989336, -0.007788841747087898, 0.013214443095194327, -0.004066462312106375, 0.013956223791780163, 0.016770379116045415]"
Skyline Reborn,2524762,2022-04-23,Taylor Brooks,3/5,rotten,"This is a generated review for Skyline Reborn, written by Taylor Brooks.","[0.004044439041584823, 0.013125295907679916, -0.0072494307033431, -0.019525487618200322, 0.01094735228507238, 0.006995940648594129, 0.018966420872517074, -0.004359626428883646, -0.006248468441505221, -0.0062336933457135535]"
Shadow of Time,9285426,2019-07-22,Morgan Tate,2.5/5,fresh,"This is a generated review for Shadow of Time, written by Morgan Tate.","[0.01399594083817499, -0.006018008372721666, 0.005247713565691332, 0.008914937533845948, 0.008946531976525358, 0.008414276690767837, -0.004323746228192461, -0.0035588905433983076, -0.008619852411836541, -9.712666807334958e-05]"
Quantum Paradox,3477197,2016-05-18,Taylor Brooks,3.5/4,fresh,"This is a generated review for Quantum Paradox, written by Taylor Brooks.","[0.011689872040620938, -0.010842482906043309, 0.017920606818160722, 0.019808720472464184, 0.010968996110889737, 0.014721095736393724, -0.016732882537741012, 0.018248273413243827, -0.007404518804202379, -0.008787532251640662]"
Skyline Reborn,8632538,2023-05-17,Jordan Reese,3.5/4,fresh,"This is a generated review for Skyline Reborn, written by Jordan Reese.","[0.015846648045482612, 0.0032654887443109536, 0.008186013863334972, -0.0032677918482591356, -0.018267975414109655, 9.57313355683595e-05, 0.011434141164206994, -0.009631234283921613, -0.01583500447304751, -0.0019425916430758153]"
Quantum Paradox,2557501,2016-01-02,Taylor Brooks,2/5,rotten,"This is a generated review for Quantum Paradox, written by Taylor Brooks.","[-0.012488871255878489, 0.016528248131586164, -0.005677355541989141, 0.00016179602363033257, 0.019330153406161465, 0.018557377705926328, -0.014014629349963514, 0.017389167745470207, 0.0004049696210116187, -0.01946214577177992]"
Quantum Paradox,4706100,2023-02-25,Jamie Lowell,3/5,fresh,"This is a generated review for Quantum Paradox, written by Jamie Lowell.","[-0.011951239374469718, -0.005990507407608767, 0.01742771658854154, 0.015342805612964205, -0.016243714667226846, -0.019734478359792328, 0.015402159567021078, -0.0028248765527068356, 0.006978126398638023, -0.007028178898194902]"
The Last Echo,6123285,2024-11-02,Jordan Reese,NaN,rotten,"This is a generated review for The Last Echo, written by Jordan Reese.","[0.00838254556048271, 0.017794726917668705, 0.002356636981245896, -0.0022684491046758397, 0.008198003283850893, -0.008987650707712947, -0.012251458169599966, 0.00022154525790466645, -0.00785952354549274, 0.017822244859549915]"
The Last Echo,1991604,2016-01-25,Morgan Tate,2.5/5,rotten,"This is a generated review for The Last Echo, written by Morgan Tate.","[-0.010909451548497687, 0.0063692721513044365, -0.013887481500737497, -0.017918569977825302, -0.006887710249031396, -0.019580029481828225, 0.016011074993550378, 0.004482269010991087, 0.011006018618580006, -0.018615421621173026]"
Neon Horizon,8367326,2019-08-17,Taylor Brooks,NaN,fresh,"This is a generated review for Neon Horizon, written by Taylor Brooks.","[-0.00045484043111553366, -0.005095756656588301, -0.0008883843260690041, -0.007310286388826718, 0.001985065459487914, -0.00753680785430122, -0.015583933397126413, 0.012121446032946983, 0.003976916707859171, -0.0001894166947624329]"
